,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,It Girl,Future History (Deluxe Edition),192200,Jason Derulo,False,2011-09-16,https://i.scdn.co/image/ab67616d0000b273644681440f5bf0fa272b0745,False
1,The Other Side,Tattoos (Deluxe Edition),226986,Jason Derulo,False,2013-09-10,https://i.scdn.co/image/ab67616d0000b27364d58f6e7672baecc8972806,False
2,TAKE YOU DANCING - STUTTER,TAKE YOU DANCING (STUTTER),55741,STUTTER TECHNO dreamy,False,2023-10-15,https://i.scdn.co/image/ab67616d0000b273ebab9ef752d7ee6c16c00461,False
3,Take You Dancing,100 Greatest Party Songs,190306,Jason Derulo,False,2022-12-16,https://i.scdn.co/image/ab67616d0000b2733cb4240e2b89026208ed3a11,False
4,Try Me (feat. Jennifer Lopez and Matoma),Everything Is 4,200240,Jason Derulo Jennifer Lopez Matoma,False,2015-05-29,https://i.scdn.co/image/ab67616d0000b273519241bcfc352fc3eaaac5db,False
5,Take You Dancing,Trending 2021,190306,Jason Derulo,False,2021-02-05,https://i.scdn.co/image/ab67616d0000b273050adf5feca5ded6b10f1a09,False
6,Take You Dancing - Bruno Martini Remix,Take You Dancing (Bruno Martini Remix),152400,Bruno Martini Jason Derulo,False,2020-09-03,https://i.scdn.co/image/ab67616d0000b2731e7bb753b30a84b4fb5c6e52,False
7,Spicy Margarita,Spicy Margarita,154376,Jason Derulo Michael Bublé,False,2024-01-25,https://i.scdn.co/image/ab67616d0000b273129c81fe46682929228de5e0,False
8,Take You Dancing - R3HAB Remix,Take You Dancing (R3HAB Remix),175573,Jason Derulo R3HAB,False,2020-08-20,https://i.scdn.co/image/ab67616d0000b273a1919e72a446d1c486c3be9f,False
10,Take You Dancing,Take You Dancing,190306,Jason Derulo,False,2020-07-22,https://i.scdn.co/image/ab67616d0000b27354eab2e4aa8b8706b6b526d2,True
