,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Genda (Go Away),Variables,156600,Alfa Mist,False,2023-04-21,https://i.scdn.co/image/ab67616d0000b273988efb64c12fafafc607e216,False
1,Alpha Aeon Omega,Eonian,318001,Dimmu Borgir,False,2018-05-04,https://i.scdn.co/image/ab67616d0000b2737c6158ec5efc695b90aa5dde,False
2,Alfa omega,Alfa omega,280940,Alfahanne Nattefrost,False,2023-11-29,https://i.scdn.co/image/ab67616d0000b2738ae34e88434266c90452e0e3,False
3,Obsession,Jukebox,130000,LAV8,False,2021-01-01,https://i.scdn.co/image/ab67616d0000b273a4e333e694b65bb267e1a7a6,False
4,Anxiety,Lost in Reality (Deluxe),191512,Alpha Martin Sol Jay,True,2022-04-01,https://i.scdn.co/image/ab67616d0000b273763c591938726d2029be9adf,False
5,Oluwa Pressure,4 UR FAITH IN ME,176989,AlphaMoses,False,2023-11-25,https://i.scdn.co/image/ab67616d0000b27367cdf582a05c82dbf767c285,False
6,Alpha Mission,Wrath Of The Machine,165015,Megahit,False,2017-09-01,https://i.scdn.co/image/ab67616d0000b27353cf421d1d26bd971deb4ced,False
7,Self Luv Intro,4 UR FAITH IN ME,148316,AlphaMoses,False,2023-11-25,https://i.scdn.co/image/ab67616d0000b27367cdf582a05c82dbf767c285,False
9,Obsession,Obsession,136494,Alpha Morris DeepX Oana,False,2023-11-17,https://i.scdn.co/image/ab67616d0000b273180683636e4d2e1acb9d99f2,False
10,Obsession,Obsession,135352,Alpha Morris DeepX OANA,False,2023-11-17,https://i.scdn.co/image/ab67616d0000b273ff64488f7f397bdf64a10a4a,True
